State,State_GeoNames_URI,State_GeoNames_Coords,State_GeoNames_Label,URI
Abruzzi,http://sws.geonames.org/3183560," 42.25, 13.75",Abruzzo,http://vocab.getty.edu/tgn/7009084
Aquitaine,http://sws.geonames.org/3037350," 44.58333, 1",Aquitaine,http://vocab.getty.edu/tgn/7002878
Alabama,http://sws.geonames.org/4829764," 32.75041, -86.75026",Alabama,http://vocab.getty.edu/tgn/7002659
Alaska,http://sws.geonames.org/5879092," 64.00028, -150.00028",Alaska,http://vocab.getty.edu/tgn/7006450
Alberta,http://sws.geonames.org/5883102," 52.28333, -117.469",Alberta,http://vocab.getty.edu/tgn/7005694
Alsace,http://sws.geonames.org/3038033," 48.33333, 7.43333",Alsace,http://vocab.getty.edu/tgn/7002870
Antalya,http://sws.geonames.org/323777," 36.90812, 30.69556",Antalya,http://vocab.getty.edu/tgn/1001102
Anzoátegui,http://sws.geonames.org/3649198," 9, -64.33333",Anzoátegui,http://vocab.getty.edu/tgn/1001829
Arizona,http://sws.geonames.org/5551752," 34.5003, -111.50098",Arizona,http://vocab.getty.edu/tgn/7006451
Arkansas,http://sws.geonames.org/4099753," 34.75037, -92.50044",Arkansas,http://vocab.getty.edu/tgn/7016172
Ash Sharqīyah,http://sws.geonames.org/8394433," 22.1, 58.43333",Ash Sharqiyah,http://vocab.getty.edu/tgn/7000684
Baden-Württemberg,http://sws.geonames.org/2953481," 48.5, 9",Baden-Württemberg,http://vocab.getty.edu/tgn/7003692
Baghdād,http://sws.geonames.org/98182," 33.34058, 44.40088",Baghdad,http://vocab.getty.edu/tgn/1001130
Basilicata,http://sws.geonames.org/3182306," 40.5041, 16.11396",Basilicate,http://vocab.getty.edu/tgn/7004610
Basse-Normandie,http://sws.geonames.org/3034692," 49, -1",Basse-Normandie,http://vocab.getty.edu/tgn/7002872
Bavaria,http://sws.geonames.org/2951839," 49, 11.5",Bavaria,http://vocab.getty.edu/tgn/7003669
Beijing Shi,http://sws.geonames.org/2038349," 39.91691, 116.39706",Beijing Shi,http://vocab.getty.edu/tgn/1000956
